neighbourhood_cleansed,room_type,accommodates,bedrooms,beds,bathrooms,minimum_nights,maximum_nights,total_reviews_historicas,total_clicks_acumulados,price
alfalfa,3,-1.295454281148449,-0.48125855188022465,2.330292041674157,-0.4462663485364962,-0.3015019543862225,-0.3362150483793528,1.791759469228055,0,3.9889840465642745
portazgo,2,-1.295454281148449,1.5510192388155146,0.4865741251616424,1.0223571970034204,-0.3015019543862225,-0.3362150483793528,1.0986122886681098,0,3.8066624897703196
este,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,0.2880454242334622,-0.2417372188929115,-0.5990128008512218,3.8501476017100584,0,3.7612001156935624
apostol santiago,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-1.1805781213064546,-0.3015019543862225,-0.3362150483793528,0.0,0,2.1972245773362196
centro,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.3015019543862225,-1.0995799484166866,5.749392985908253,0,3.871201010907891
adelfas,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,2.4909807425433375,1.4914401104131076,-0.3362150483793528,0.0,0,3.6109179126442243
almenara,0,-1.295454281148449,-1.4973974472280942,-0.7425711525133675,-0.4462663485364962,1.4316753749197966,-0.3362150483793528,0.0,0,3.9889840465642745
gaztambide,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,1.0223571970034204,3.224617439719127,-1.0244948762818669,0.0,0,2.995732273553991
vinateros,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-1.1805781213064546,0.47543960702682053,-0.3362150483793528,1.9459101490553132,0,3.2188758248682006
berruguete,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.1819724833996005,0.5773199959276204,3.7612001156935624,0,3.5263605246161616
triana oeste,0,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,3.224617439719127,-0.3362150483793528,0.0,0,3.332204510175204
butarque,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-1.1805781213064546,-0.3015019543862225,-0.3362150483793528,0.6931471805599453,0,4.0943445622221
embajadores,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.3015019543862225,-1.212207556618916,6.693323668269949,0,3.4011973816621555
rosas,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,0.2880454242334622,-0.3015019543862225,-1.1746650205515063,4.0943445622221,0,3.6109179126442243
embajadores,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,2.4909807425433375,1.4316753749197966,-0.3362150483793528,0.0,0,3.4657359027997265
huerta de la salud,0,-1.295454281148449,-0.48125855188022465,-0.12799851367586254,-0.4462663485364962,3.224617439719127,-0.7491829451208613,1.6094379124341003,0,3.912023005428146
opañel,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.2417372188929115,-1.1746650205515063,4.795790545596741,0,3.58351893845611
palacio,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,1.4316753749197966,-1.0870657697275499,0.0,0,3.6888794541139363
goya,2,-1.295454281148449,0.534880343467645,-0.12799851367586254,-0.4462663485364962,1.4316753749197966,-0.3362150483793528,0.0,0,4.060443010546419
ventas,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.2417372188929115,1.5659401123694134,1.0986122886681098,0,3.713572066704308
justicia,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.2417372188929115,-0.32370086969021616,5.7430031878094825,0,4.1588830833596715
palacio,3,-1.295454281148449,-0.48125855188022465,17.080035373774276,9.834098470242921,-0.3015019543862225,-0.3362150483793528,3.1780538303479458,0,3.6888794541139363
